"Time","Temp","WindDir","WindSpeed"
"Sun Feb 19 13:00:00 CET 2012","5.0","NW","6.0"
"Sun Feb 19 16:00:00 CET 2012","4.0","NW","7.0"
"Sun Feb 19 19:00:00 CET 2012","2.0","North","3.0"
"Sun Feb 19 22:00:00 CET 2012","1.0","West","3.0"
"Mon Feb 20 01:00:00 CET 2012","0.0","SW","2.0"
"Mon Feb 20 04:00:00 CET 2012","-1.0","SW","2.0"
"Mon Feb 20 07:00:00 CET 2012","-1.0","SW","2.0"
"Mon Feb 20 10:00:00 CET 2012","1.0","WSW","3.0"
"Mon Feb 20 13:00:00 CET 2012","6.0","SW","3.0"
"Mon Feb 20 16:00:00 CET 2012","7.0","SW","4.0"
"Mon Feb 20 19:00:00 CET 2012","4.0","SSW","4.0"
"Mon Feb 20 22:00:00 CET 2012","3.0","SSW","5.0"
"Tue Feb 21 04:00:00 CET 2012","3.0","SW","5.0"
"Tue Feb 21 07:00:00 CET 2012","3.0","SW","5.0"
"Tue Feb 21 13:00:00 CET 2012","9.0","SW","5.0"
"Tue Feb 21 16:00:00 CET 2012","9.0","WSW","5.0"
"Tue Feb 21 19:00:00 CET 2012","7.0","SSW","4.0"
"Tue Feb 21 22:00:00 CET 2012","5.0","SSW","5.0"
"Wed Feb 22 04:00:00 CET 2012","6.0","SW","5.0"
"Wed Feb 22 07:00:00 CET 2012","4.0","SW","4.0"
"Wed Feb 22 10:00:00 CET 2012","5.0","SW","4.0"
"Wed Feb 22 13:00:00 CET 2012","8.0","SSW","6.0"
"Wed Feb 22 16:00:00 CET 2012","8.0","SW","6.0"
"Wed Feb 22 19:00:00 CET 2012","7.0","SSW","7.0"
"Wed Feb 22 22:00:00 CET 2012","6.0","SW","7.0"
"Thu Feb 23 01:00:00 CET 2012","6.0","SW","6.0"
"Thu Feb 23 04:00:00 CET 2012","7.0","SW","5.0"
"Thu Feb 23 13:00:00 CET 2012","10.0","SW","3.0"
"Thu Feb 23 16:00:00 CET 2012","13.0","SW","4.0"
"Thu Feb 23 19:00:00 CET 2012","12.0","SSW","5.0"
"Thu Feb 23 22:00:00 CET 2012","10.0","SW","6.0"
"Fri Feb 24 01:00:00 CET 2012","9.0","SW","5.0"
"Fri Feb 24 04:00:00 CET 2012","9.0","WSW","4.0"
"Fri Feb 24 07:00:00 CET 2012","9.0","SW","4.0"
"Fri Feb 24 10:00:00 CET 2012","9.0","SW","4.0"
"Fri Feb 24 22:00:00 CET 2012","9.0","SW","3.0"
"Sat Feb 25 01:00:00 CET 2012","8.0","WNW","3.0"
"Sat Feb 25 07:00:00 CET 2012","6.0","WNW","3.0"
"Sat Feb 25 10:00:00 CET 2012","6.0","WNW","5.0"
"Sat Feb 25 13:00:00 CET 2012","9.0","WNW","5.0"
"Sat Feb 25 19:00:00 CET 2012","7.0","NW","3.0"
"Sat Feb 25 22:00:00 CET 2012","6.0","West","3.0"
"Sun Feb 26 01:00:00 CET 2012","5.0","WSW","2.0"
"Sun Feb 26 04:00:00 CET 2012","3.0","WSW","2.0"
"Sun Feb 26 10:00:00 CET 2012","5.0","West","3.0"
"Sun Feb 26 19:00:00 CET 2012","6.0","North","2.0"
"Sun Feb 26 22:00:00 CET 2012","4.0","SW","1.0"
"Mon Feb 27 01:00:00 CET 2012","4.0","SW","2.0"
"Mon Feb 27 07:00:00 CET 2012","3.0","SW","3.0"
"Mon Feb 27 10:00:00 CET 2012","5.0","SSW","3.0"
"Mon Feb 27 13:00:00 CET 2012","8.0","WSW","4.0"
"Mon Feb 27 16:00:00 CET 2012","7.0","WSW","3.0"
"Mon Feb 27 19:00:00 CET 2012","7.0","West","2.0"
"Mon Feb 27 22:00:00 CET 2012","7.0","SW","3.0"
